Time,Expenses
11/30/19,4297
8/31/19,4643
5/31/19,4322
2/28/19,4286
11/30/18,3904
8/31/18,4042
5/31/18,3798
2/28/18,3813
11/30/17,3711
8/31/17,4122
5/31/17,3445
2/28/17,3423
11/30/16,3339
8/31/16,3535
5/31/16,3227
2/29/16,3217
11/30/15,3201
8/31/15,3373
5/31/15,3301
2/28/15,3265
11/30/14,3453
8/31/14,3655
5/31/14,3486
2/28/14,3518
11/30/13,3577
8/31/13,3775
5/31/13,3327
2/28/13,3448
11/30/12,3402
8/31/12,3389
5/31/12,3285
2/29/12,3664
11/30/11,3388
8/31/11,3625
5/31/11,3341
2/28/11,3184
11/30/10,3156
8/31/10,3125
5/31/10,2918
2/28/10,2923
11/30/09,3215
8/31/09,2943
5/31/09,2595
2/28/09,2553
11/30/08,3153
8/31/08,3329
5/31/08,2896
2/29/08,2840
11/30/07,2701
8/31/07,2831
5/31/07,2441
2/28/07,2335
11/30/06,2333
8/31/06,2565
5/31/06,2214
2/28/06,2114
11/30/05,2137
8/31/05,2286
5/31/05,2054
2/28/05,1978